,STOCK_FAMILY,STOCK_CATEGORY_NEW,STOCK_CATEGORY,TARGET_TYPE,TRANSIT_TYPE,TERMINAL_TYPE,REFINERY_AREA_DESC,LOCATION_LEVEL_0,LOCATION_LEVEL_1,LOCATION_LEVEL_2,REFINERY_AREA,VOLUME_MBD_TARGET,RECORD_ID,YEAR,MONTH,VOLUME_MBD_ACTUAL
2956,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.01,27573b29b5303a447a1961fa8baa21c4354ac01f7389090c4bfbb0350be3c41b,2022,Sep,0.1599208740667864
2957,OTHER,OTHER,TRANSMIX,CALCULATED,IN TRANSIT,IN TRANSIT,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,1.03,ab3cc486ed2154579cc6a53105219fc38315a2c96a01152afcefd8abeba5e51b,2022,Sep,2.3587265441268928
2958,OTHER,OTHER,TRANSMIX,CALCULATED,IN TRANSIT,IN TRANSIT,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.9,486c3e08fbbdb6407d0729cda77cc83a3e8c818bce55f23502e82fea5972bf8e,2022,Sep,2.315157178898668
2959,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,IN TRANSIT,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.28,21363872e973c3286a78c00f79d44aa60cc686fe45d468aed9beb2933fab8355,2022,Oct,0.12837714759219385
2960,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.11,c082fa7f972c75e81dea1358ad6a530c774b6dd949a75c41b8d61e1e28e44a1e,2022,Oct,0.4310065410259539
2961,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,FLORIDA,PASC,0.24,0ad8b06c2f67e829120df9824612f0e1ccd34fb95401f1ac553378fa49ac707c,2022,Oct,0.2764777061123386
2962,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.01,eda89e1b7b64fe08b2f668809fe30e2c45a7eb16c4ac1ba4c80dcf78222f1536,2022,Oct,0.18887986705710097
2963,OTHER,OTHER,TRANSMIX,CALCULATED,IN TRANSIT,IN TRANSIT,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,1.03,d2e4b5160b4e2e7bdae68604c884ff0ddceb9b368c44955c61b647dca3d2abd7,2022,Oct,2.3796888251882566
2964,OTHER,OTHER,TRANSMIX,CALCULATED,IN TRANSIT,IN TRANSIT,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.9,9ba952ba3f1e2897ca8182cf08a9fb01c8c6f57e755e258be35e0caff47612db,2022,Oct,2.3375239637794167
2965,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,IN TRANSIT,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.28,46f8b8d8177ffd64a7090b1784acfd4bfe9b3252471595a34649eb3c7641a85d,2022,Nov,0.05581098682675026
2966,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,PLANTATION DUAL,PASC,8.3,56b1e136e4da8b394f754f2bfb9993d9e00986c6a2c3477788d080d26f94f31e,2022,Nov,9.031052631578946
