,STOCK_FAMILY,STOCK_CATEGORY_NEW,STOCK_CATEGORY,TARGET_TYPE,TRANSIT_TYPE,TERMINAL_TYPE,REFINERY_AREA_DESC,LOCATION_LEVEL_0,LOCATION_LEVEL_1,LOCATION_LEVEL_2,REFINERY_AREA,VOLUME_MBD_TARGET,RECORD_ID,YEAR,MONTH,VOLUME_MBD_ACTUAL
2897,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,IN TRANSIT,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.28,2abe1be2fb2ad28914cfd13e7094bf9549553c99b7dba7dcd02c2b3efd31537f,2021,Dec,0.2393804095850909
2898,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.11,6d665012f85868724fe848934f251c3775ed3e17d604428542ee3a0cd761ac19,2021,Dec,0.7227864427199565
2899,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,FLORIDA,PASC,0.24,cad918d6dec57db22cb8810003e4ecc5be701f74efd96d90490b4b425f53b1d2,2021,Dec,0.49552125457248225
2900,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.44,c02d17014ec2ed1375aa8eee903ebf6e6fb23ab7e8b3020118686463b21e563a,2021,Dec,0.24838182174640283
2901,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.01,87fee0dae9a76f8a937553ef2ec7f4fd3747c0b9a8553863eb7c641f06b45fd6,2021,Dec,0.2805764963022416
2902,OTHER,OTHER,TRANSMIX,CALCULATED,IN TRANSIT,IN TRANSIT,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.9,a383ffa8dc2927011d43cdd5027bb872a360ba2d3e0e833cc52f43c5c79f10fb,2021,Dec,1.8921647162461814
2903,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,IN TRANSIT,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.28,2f044a1bb11c3f8328364b9ef803886bdc4d994a9feed6bdf9c1aa5bcdabf36c,2022,Jan,0.20045534944383941
2904,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.11,373e363c53dae7ab40db8a359164f70ebda8eb6eefeec6976f36161133c0efa6,2022,Jan,0.4888558145716299
2905,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,FLORIDA,PASC,0.24,26ef086131f8c97ada9a33ae315571780544f2b61bd6354ee3a6712349134fe5,2022,Jan,0.61448938120662
2906,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.44,9994a6a50b88800faf11907ba76379e4202b1884a7136c967492dbefd7ea4efc,2022,Jan,-0.3613676087460406
2907,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.01,4e98ab42b88d53882c794576960ca00e1ca82271d552c223848c2c77931f68ca,2022,Jan,0.2939373228810685
2908,OTHER,OTHER,TRANSMIX,CALCULATED,IN TRANSIT,IN TRANSIT,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.9,0318f83cb7a1ade99b898fdbadd70e9da7cb9666e854798c986276a451be4788,2022,Jan,2.3409206134920697
2909,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,IN TRANSIT,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.28,e2a28155d62119b3b55b0bd01a994ce30d424cebda466a1fbc6578d8bd55e51f,2022,Feb,0.1610674403133205
2910,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.11,c2b260d23df836100c18074152685d14c423605aca83b77f48fa68ae3d9acc2b,2022,Feb,0.522411154439902
2911,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,FLORIDA,PASC,0.24,4eadf7e32752de88fd2a1ae2f9ad2ca4b1d4fb79c29c009112699d09fda06fa1,2022,Feb,0.7265532441332738
2912,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.01,ba567d7581b03f9687c85b07b15ee1acaec8fd7a6b125b470f6237d180a3b9c1,2022,Feb,0.1235902831714848
2913,OTHER,OTHER,TRANSMIX,CALCULATED,IN TRANSIT,IN TRANSIT,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.9,b8999c16a2812f1e895f968817b9e9b8d0d160b57400cb7875d0c98ae5765462,2022,Feb,3.2952538143585963
2914,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,IN TRANSIT,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.28,0548fbb954600f46516d1738a3860b8b25f5d22240db671ed7746686b7abb1ab,2022,Mar,0.28663137558355656
2915,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,EL SEGUNDO,US WEST COAST,EL SEGUNDO SUPPLY AREA,SOCAL AREA,ELSE,0.11,1130f8532eb48e32b23d8f0a8e53c37929a1df6f76eb689312ac64d4bcf3ba20,2022,Mar,0.5575307001363241
2916,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,PASCAGOULA,US EAST,PASCAGOULA SUPPLY AREA,FLORIDA,PASC,0.24,735dcf2df47ed871c138a7a382dc206d2c5704e903c04b475d59b22b6547a389,2022,Mar,0.3309205189615784
2917,OTHER,OTHER,TRANSMIX,CALCULATED,IN TANK,TERMINAL,RICHMOND,US WEST COAST,RICHMOND SUPPLY AREA,BAY AREA,RICH,0.01,f7d26279ab44b41d2c3c5553d90f44b4d61f8ac40ad41f8694864788699c12d2,2022,Mar,0.30925777927288944
